Ano,Mes,Queimadas
1998,6,1549
1998,7,3192
1998,8,20075
1998,9,19214
1998,10,8777
1998,11,3833
1998,12,2547
1999,1,160
1999,2,358
1999,3,130
1999,4,70
1999,5,449
1999,6,1439
1999,7,3675
1999,8,21525
1999,9,16106
1999,10,12794
1999,11,4449
1999,12,1703
2000,1,87
2000,2,182
2000,3,405
2000,4,92
2000,5,930
2000,6,3211
2000,7,1510
2000,8,12791
2000,9,10062
2000,10,10226
2000,11,5497
2000,12,3175
2001,1,165
2001,2,699
2001,3,1134
2001,4,617
2001,5,916
2001,6,4227
2001,7,1816
2001,8,17679
2001,9,15528
2001,10,14292
2001,11,8346
2001,12,4256
2002,1,590
2002,2,667
2002,3,901
2002,4,405
2002,5,1490
2002,6,5702
2002,7,7529
2002,8,43484
2002,9,48549
2002,10,27110
2002,11,23660
2002,12,9174
2003,1,3704
2003,2,1573
2003,3,1997
2003,4,1038
2003,5,1983
2003,6,6848
2003,7,15918
2003,8,34765
2003,9,47789
2003,10,25341
2003,11,19631
2003,12,13813
2004,1,2178
2004,2,805
2004,3,1035
2004,4,1012
2004,5,3131
2004,6,9179
2004,7,19179
2004,8,43320
2004,9,71522
2004,10,23928
2004,11,26424
2004,12,16924
2005,1,4314
2005,2,1048
2005,3,758
2005,4,832
2005,5,1746
2005,6,2954
2005,7,19364
2005,8,63764
2005,9,68560
2005,10,26624
2005,11,16790
2005,12,6966
2006,1,1973
2006,2,879
2006,3,903
2006,4,709
2006,5,843
2006,6,2522
2006,7,6995
2006,8,34208
2006,9,51028
2006,10,18309
2006,11,17474
2006,12,8579
2007,1,1918
2007,2,1761
2007,3,1431
2007,4,760
2007,5,1176
2007,6,3519
2007,7,6196
2007,8,46385
2007,9,73141
2007,10,28731
2007,11,16025
2007,12,5437
2008,1,938
2008,2,527
2008,3,860
2008,4,569
2008,5,383
2008,6,1248
2008,7,5901
2008,8,21445
2008,9,26469
2008,10,23518
2008,11,15450
2008,12,6145
2009,1,1095
2009,2,354
2009,3,584
2009,4,435
2009,5,673
2009,6,1023
2009,7,2327
2009,8,9732
2009,9,20527
2009,10,19323
2009,11,19104
2009,12,6505
2010,1,1697
2010,2,1147
2010,3,1176
2010,4,633
2010,5,1026
2010,6,1911
2010,7,5868
2010,8,45018
2010,9,43933
2010,10,14798
2010,11,12167
2010,12,5240
2011,1,771
2011,2,271
2011,3,427
2011,4,465
2011,5,528
2011,6,1083
2011,7,2445
2011,8,8002
2011,9,16987
2011,10,9760
2011,11,9815
2011,12,7632
2012,1,1203
2012,2,438
2012,3,484
2012,4,473
2012,5,855
2012,6,1875
2012,7,3095
2012,8,20687
2012,9,24067
2012,10,14814
2012,11,13259
2012,12,5469
2013,1,1181
2013,2,374
2013,3,738
2013,4,518
2013,5,796
2013,6,1450
2013,7,2531
2013,8,9444
2013,9,16786
2013,10,10242
2013,11,6615
2013,12,8013
2014,1,1573
2014,2,473
2014,3,1010
2014,4,632
2014,5,673
2014,6,1628
2014,7,2766
2014,8,20113
2014,9,20522
2014,10,13812
2014,11,12169
2014,12,7773
2015,1,2042
2015,2,1047
2015,3,572
2015,4,762
2015,5,407
2015,6,1287
2015,7,2817
2015,8,20471
2015,9,29326
2015,10,19469
2015,11,16935
2015,12,11303
2016,1,4657
2016,2,1559
2016,3,2024
2016,4,1075
2016,5,895
2016,6,1663
2016,7,6120
2016,8,18340
2016,9,20460
2016,10,14234
2016,11,11610
2016,12,5124
2017,1,796
2017,2,379
2017,3,736
2017,4,618
2017,5,805
2017,6,1759
2017,7,7986
2017,8,21244
2017,9,36569
2017,10,14457
2017,11,14105
2017,12,7985
2018,1,1444
2018,2,888
2018,3,1359
2018,4,513
2018,5,772
2018,6,1980
2018,7,4788
2018,8,10421
2018,9,24803
2018,10,10654
2018,11,8881
2018,12,1842
2019,1,1419
2019,2,1368
2019,3,3383
2019,4,1702
2019,5,854
2019,6,1880
2019,7,5318
2019,8,30901
