Ano,Mes,Ano-Mes,Queimadas
1998,6,jun/98,3551
1998,7,jul/98,8067
1998,8,ago/98,35551
1998,9,set/98,41976
1998,10,out/98,23499
1998,11,nov/98,6804
1998,12,dez/98,4448
1999,1,jan/99,1081
1999,2,fev/99,1284
1999,3,mar/99,667
1999,4,abr/99,717
1999,5,mai/99,1811
1999,6,jun/99,3632
1999,7,jul/99,8758
1999,8,ago/99,39492
1999,9,set/99,36914
1999,10,out/99,27017
1999,11,nov/99,8863
1999,12,dez/99,4376
2000,1,jan/00,778
2000,2,fev/00,562
2000,3,mar/00,848
2000,4,abr/00,538
2000,5,mai/00,2097
2000,6,jun/00,6274
2000,7,jul/00,4740
2000,8,ago/00,22204
2000,9,set/00,23293
2000,10,out/00,27332
2000,11,nov/00,8399
2000,12,dez/00,4465
2001,1,jan/01,547
2001,2,fev/01,1060
2001,3,mar/01,1267
2001,4,abr/01,1081
2001,5,mai/01,2090
2001,6,jun/01,8405
2001,7,jul/01,6488
2001,8,ago/01,31838
2001,9,set/01,39829
2001,10,out/01,31039
2001,11,nov/01,15640
2001,12,dez/01,6200
2002,1,jan/02,1653
2002,2,fev/02,1569
2002,3,mar/02,1678
2002,4,abr/02,1683
2002,5,mai/02,3816
2002,6,jun/02,10845
2002,7,jul/02,18080
2002,8,ago/02,72412
2002,9,set/02,93417
2002,10,out/02,59258
2002,11,nov/02,39913
2002,12,dez/02,17092
2003,1,jan/03,6697
2003,2,fev/03,3100
2003,3,mar/03,3549
2003,4,abr/03,3643
2003,5,mai/03,6448
2003,6,jun/03,16752
2003,7,jul/03,30391
2003,8,ago/03,57004
2003,9,set/03,97758
2003,10,out/03,57495
2003,11,nov/03,35422
2003,12,dez/03,22980
2004,1,jan/04,3883
2004,2,fev/04,1932
2004,3,mar/04,2928
2004,4,abr/04,2956
2004,5,mai/04,6609
2004,6,jun/04,18024
2004,7,jul/04,30356
2004,8,ago/04,64067
2004,9,set/04,121395
2004,10,out/04,54292
2004,11,nov/04,45364
2004,12,dez/04,28640
2005,1,jan/05,7058
2005,2,fev/05,2898
2005,3,mar/05,2529
2005,4,abr/05,2743
2005,5,mai/05,5075
2005,6,jun/05,7854
2005,7,jul/05,30238
2005,8,ago/05,90729
2005,9,set/05,102455
2005,10,out/05,65023
2005,11,nov/05,31631
2005,12,dez/05,14333
2006,1,jan/06,4532
2006,2,fev/06,2388
2006,3,mar/06,2427
2006,4,abr/06,2269
2006,5,mai/06,4313
2006,6,jun/06,7601
2006,7,jul/06,17788
2006,8,ago/06,54630
2006,9,set/06,76475
2006,10,out/06,32043
2006,11,nov/06,29303
2006,12,dez/06,15415
2007,1,jan/07,4220
2007,2,fev/07,2761
2007,3,mar/07,3340
2007,4,abr/07,2550
2007,5,mai/07,5123
2007,6,jun/07,12716
2007,7,jul/07,19931
2007,8,ago/07,91085
2007,9,set/07,141220
2007,10,out/07,67228
2007,11,nov/07,31421
2007,12,dez/07,12320
2008,1,jan/08,2777
2008,2,fev/08,1751
2008,3,mar/08,1887
